10 42.0 tensor(11.2838, grad_fn=<CopyBackwards>)
20 27.0 tensor(8.0844, grad_fn=<CopyBackwards>)
30 9.0 tensor(3.1781, grad_fn=<CopyBackwards>)
40 23.0 tensor(7.1539, grad_fn=<CopyBackwards>)
50 15.0 tensor(5.1977, grad_fn=<CopyBackwards>)
60 15.0 tensor(4.8011, grad_fn=<CopyBackwards>)
70 13.0 tensor(4.2391, grad_fn=<CopyBackwards>)
80 23.0 tensor(7.1989, grad_fn=<CopyBackwards>)
90 14.0 tensor(4.8961, grad_fn=<CopyBackwards>)
100 10.0 tensor(3.4043, grad_fn=<CopyBackwards>)
110 26.0 tensor(7.9234, grad_fn=<CopyBackwards>)
120 24.0 tensor(7.5409, grad_fn=<CopyBackwards>)
130 15.0 tensor(4.9000, grad_fn=<CopyBackwards>)
140 9.0 tensor(3.0969, grad_fn=<CopyBackwards>)
150 31.0 tensor(9.2183, grad_fn=<CopyBackwards>)
160 19.0 tensor(6.4801, grad_fn=<CopyBackwards>)
170 30.0 tensor(9.0348, grad_fn=<CopyBackwards>)
180 17.0 tensor(5.3803, grad_fn=<CopyBackwards>)
190 16.0 tensor(5.1091, grad_fn=<CopyBackwards>)
200 12.0 tensor(4.3736, grad_fn=<CopyBackwards>)
210 24.0 tensor(7.2810, grad_fn=<CopyBackwards>)
220 14.0 tensor(4.9589, grad_fn=<CopyBackwards>)
230 14.0 tensor(4.6194, grad_fn=<CopyBackwards>)
240 41.0 tensor(10.9998, grad_fn=<CopyBackwards>)
250 18.0 tensor(5.8232, grad_fn=<CopyBackwards>)
260 11.0 tensor(3.5846, grad_fn=<CopyBackwards>)
270 16.0 tensor(5.2740, grad_fn=<CopyBackwards>)
280 13.0 tensor(4.0969, grad_fn=<CopyBackwards>)
290 13.0 tensor(4.6907, grad_fn=<CopyBackwards>)
300 12.0 tensor(4.0496, grad_fn=<CopyBackwards>)
310 10.0 tensor(3.3084, grad_fn=<CopyBackwards>)
320 21.0 tensor(6.8564, grad_fn=<CopyBackwards>)
330 33.0 tensor(9.4590, grad_fn=<CopyBackwards>)
340 9.0 tensor(3.6656, grad_fn=<CopyBackwards>)
350 24.0 tensor(7.8034, grad_fn=<CopyBackwards>)
360 13.0 tensor(4.7886, grad_fn=<CopyBackwards>)
370 15.0 tensor(5.3053, grad_fn=<CopyBackwards>)
